gobject-introspection-runtime 1.68.0-1
google-chrome 90.0.4430.72-2
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.7-1
graphene 1.10.6-1
graphite 1:1.3.14-1
graphviz 2.47.1-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gsettings-desktop-schemas 40.0-3
gsfonts 20200910-2
gsm 1.0.19-1
gsound 1.0.2-5
gspell 1.8.4-1
gst-plugins-bad-libs 1.18.4-5
gst-plugins-base 1.18.4-1
gst-plugins-base-libs 1.18.4-1
gst-plugins-good 1.18.4-2
gstreamer 1.18.4-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.2.0-5
gtk3 1:3.24.29-1
gtk4 1:4.2.0-5
gtkmm3 3.24.4-1
gtksourceview4 4.8.1-1
gts 0.7.6.121130-2
gucharmap 13.0.6-1
guile 2.2.7-1
gupnp-dlna 0.10.5+4+gc947eed-2
gvfs 1.48.0-2
gzip 1.10-3
harfbuzz 2.8.0-3
harfbuzz-icu 2.8.0-3
hdparm 9.60-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
htop 3.0.5-1
http-parser 2.9.4-1
hwids 20201207-1
hyphen 2.8.8-3
i3-gaps 4.19.1-1
i3blocks 1.5-3
iana-etc 20210202-1
icons-in-terminal r93.b12286d-3
icu 69.1-1
ijs 0.35-3
imlib2 1.7.1-1
intel-ucode 20210216-1
intltool 0.51.0-6
iproute2 5.12.0-1
iptables 1:1.8.7-1
iputils 20210202-1
ipython 7.22.0-1
iso-codes 4.6.0-1
itstool 1:2.0.6-2
iw 5.9-1
jack 0.125.0-9
jansson 2.13.1-1
jbig2dec 0.19-1
js78 78.10.0-1
json-c 0.15-1
json-glib 1.6.2-1
jsoncpp 1.9.4-1
jsonrpc-glib 3.38.0-1
kbd 2.4.0-2
keyutils 1.6.3-1
kmod 28-1
krb5 1.19.1-1
l-smash 2.14.5-2
lame 3.100-3
lcms2 2.12-1
ldns 1.7.1-2
less 1:581.2-1
libaio 0.3.112-2
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.1-1
libass 0.15.0-2
libassuan 2.5.5-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libavc1394 0.5.4-4
libavif 0.9.0-2
libblockdev 2.25-2
libbluray 1.3.0-1
libbytesize 2.5-1
libcaca 0.99.beta19-4
libcanberra 0.30+2+gc0620e4-3
libcap 2.49-1
libcap-ng 0.8.2-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcloudproviders 0.3.1-2
libcroco 0.6.13-2
libcryptui 3.12.2+55+ged3b12af-1
libcue 2.2.1-2
libcups 1:2.3.3op2-3
libcurl-gnutls 7.76.1-1
libdaemon 0.14-5
libdatrie 0.2.13-1
libdazzle 3.40.0-1
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libde265 1.0.8-1
libdrm 2.4.105-1
libdv 1.0.0-9
libedit 20210419_3.1-1
libelf 0.183-3
libepoxy 1.5.5-1
libev 4.33-1
libevdev 1.11.0-1
libexif 0.6.22-1
libfdk-aac 2.0.1-2
libffi 3.3-4
libfontenc 1.1.4-3
libgcrypt 1.9.3-1
libgdata 0.18.1-1
libgee 0.20.4-1
libgexiv2 0.12.2-1
libgit2 1:1.1.0-1
libgit2-glib 0.99.0.1-5
libglvnd 1.3.2-2
libgnome-games-support 1.8.1-1
libgpg-error 1.42-1
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.47-1
libgudev 236-1
libgusb 0.3.6-1
libgweather 40.0-1
libgxps 0.3.2-1
libhandy 1.2.2-1
libheif 1.11.0-3
libibus 1.5.24-1
libical 3.0.10-1
libice 1.0.10-3
libid3tag 0.15.1b-11
libidn 1.36-1
libidn2 2.3.0-1
libiec61883 1.2.0-6
libimobiledevice 1.3.0-3
libindicator-gtk3 12.10.1-9
libinih 53-1
libinput 1.17.1-1
libiptcdata 1.0.4-5
libjpeg-turbo 2.1.0-1
libksba 1.4.0-2
libldac 2.0.2.3-1
libldap 2.4.58-1
libmanette 0.2.6-1
